pair_key,clip_text_prompt
Legs apart motions|||Sidestep Running,A person sidestep runs with legs apart.
Legs apart motions|||Sidestep Walking,A person sidesteps with legs apart.
Legs apart motions|||Transition 1,Human motion of transitioning with legs apart.
Legs relatively straight wide apart|||Backwards Running,A person runs backwards with legs kept relatively straight and wide apart.
Legs relatively straight wide apart|||Backwards Walking,A person walks backwards with legs relatively straight and wide apart.
Legs relatively straight wide apart|||Forwards Running,A person runs forwards with legs relatively straight and wide apart.
Legs relatively straight wide apart|||Forwards Walking,Human motion of walking forward with legs straight and wide apart.
Legs relatively straight wide apart|||Idling,A person stands with legs relatively straight and wide apart while idling.
Legs relatively straight wide apart|||Sidestep Running,A person sidestep runs with legs relatively straight and wide apart.
Legs relatively straight wide apart|||Sidestep Walking,A person walks sideways with straight legs positioned wide apart.
Legs relatively straight wide apart|||Transition 1,Human motion of transitioning with legs wide apart and relatively straight.
Lift knees high but only knees – not marching|||Backwards Running,"A person runs backwards while lifting their knees high, focusing solely on knee movement without marching."
Lift knees high but only knees – not marching|||Backwards Walking,"A person walks backwards, lifting knees high but only moving the knees without marching."
Lift knees high but only knees – not marching|||Forwards Running,"A person runs forward, lifting knees high without marching."
Lift knees high but only knees – not marching|||Forwards Walking,"A person walks forward, lifting only their knees high without marching."
Lift knees high but only knees – not marching|||Idling,A person idly lifts their knees high without marching.
Lift knees high but only knees – not marching|||Sidestep Running,"A person runs sideways while lifting only their knees high, not marching."
Lift knees high but only knees – not marching|||Sidestep Walking,A person sidesteps while lifting their knees high in a stationary march.
Lift knees high but only knees – not marching|||Transition 1,"A person lifts only their knees high during a transition, not marching."
Like a t-rex arms close to body dinosaur posture|||Backwards Running,A person runs backwards with arms held close to the body in a T-rex-like posture.
Like a t-rex arms close to body dinosaur posture|||Backwards Walking,A person walks backwards while maintaining a T-rex posture with arms close to the body.
Like a t-rex arms close to body dinosaur posture|||Forwards Running,A person runs forward with arms tucked close in a T-rex-like posture.
Like a t-rex arms close to body dinosaur posture|||Forwards Walking,A person walks forwards with arms held close to the body in a T-rex-like posture.
Like a t-rex arms close to body dinosaur posture|||Idling,A person idles with arms held close in a T-rex-like posture.
Like a t-rex arms close to body dinosaur posture|||Sidestep Running,A person sidestep runs with arms tucked close in a T-rex posture.
Like a t-rex arms close to body dinosaur posture|||Sidestep Walking,A person sidesteps while holding their arms close to their body in a T-rex-like posture.
Like a t-rex arms close to body dinosaur posture|||Transition 1,A person transitions with T-rex-like arms held close to the body.
Normal motion upperbody tilted left|||Backwards Running,A person runs backwards with their upper body tilted to the left.
Normal motion upperbody tilted left|||Backwards Walking,A person walks backwards with their upper body tilted to the left.
Normal motion upperbody tilted left|||Forwards Running,A person runs forward with their upper body tilted to the left.
Normal motion upperbody tilted left|||Forwards Walking,A person walks forward with their upper body tilted to the left.
Normal motion upperbody tilted left|||Idling,A person idles with their upper body tilted left.
Normal motion upperbody tilted left|||Sidestep Running,A person sidestep runs with the upper body tilted left.
Normal motion upperbody tilted left|||Sidestep Walking,A person sidesteps while tilting their upper body to the left.
Normal motion upperbody tilted left|||Transition 1,A person tilts the upper body left while transitioning with the lower body.
Normal motion upperbody tilted right|||Backwards Running,A person runs backwards with their upper body tilted to the right.
Normal motion upperbody tilted right|||Backwards Walking,A person walks backwards with their upper body tilted to the right.
Normal motion upperbody tilted right|||Forwards Running,A person runs forward with their upper body tilted to the right.
Normal motion upperbody tilted right|||Forwards Walking,A person walks forward with their upper body tilted to the right.
Normal motion upperbody tilted right|||Idling,A person idles with their upper body tilted to the right.
Normal motion upperbody tilted right|||Sidestep Running,Human motion of sidestep running with the upper body tilted to the right.
Normal motion upperbody tilted right|||Sidestep Walking,A person walks sideways with their upper body tilted to the right.
Normal motion upperbody tilted right|||Transition 1,A person tilts their upper body to the right while their lower body transitions.
Normal walking|||Backwards Running,A person runs backwards with their upper body in a normal walking style.
Normal walking|||Backwards Walking,A person walks backwards while maintaining a normal upper body walking style.
Normal walking|||Forwards Running,A person walks normally with their upper body while running forward with their legs.
Normal walking|||Forwards Walking,A person walks forward with normal upper body posture.
Normal walking|||Idling,A person stands idly while their upper body mimics a walking motion.
Normal walking|||Sidestep Running,A person sidestep runs with the lower body while the upper body walks normally.
Normal walking|||Sidestep Walking,A person sidesteps while maintaining a normal walking upper body posture.
Normal walking|||Transition 1,A person walks normally with the upper body while the lower body transitions.
Occasionally turning shoulders or turn sideways to avoid others|||Backwards Running,"A person runs backwards, occasionally turning shoulders or moving sideways to avoid others."
Occasionally turning shoulders or turn sideways to avoid others|||Backwards Walking,"A person walks backwards, occasionally turning shoulders or sideways to avoid others."
Occasionally turning shoulders or turn sideways to avoid others|||Forwards Running,A person runs forward while occasionally turning shoulders or sidestepping to avoid others.
Occasionally turning shoulders or turn sideways to avoid others|||Forwards Walking,"A person walks forward, occasionally turning shoulders or moving sideways to avoid others."
Occasionally turning shoulders or turn sideways to avoid others|||Idling,Human motion of occasionally turning shoulders while idling.
Occasionally turning shoulders or turn sideways to avoid others|||Sidestep Running,"A person runs with sidesteps, occasionally turning shoulders sideways to avoid others."
Occasionally turning shoulders or turn sideways to avoid others|||Sidestep Walking,A person sidesteps while occasionally turning their shoulders sideways to avoid others.
Occasionally turning shoulders or turn sideways to avoid others|||Transition 1,A person transitions by occasionally turning shoulders or sidestepping to avoid others.
One arm across chest the other extended walk tall|||Backwards Running,"A person runs backwards with one arm across the chest, the other extended, and a tall posture."
One arm across chest the other extended walk tall|||Backwards Walking,A person walks backwards tall with one arm across the chest and the other extended.
One arm across chest the other extended walk tall|||Forwards Running,Human motion of walking tall with one arm across the chest and the other extended while running forwards.
One arm across chest the other extended walk tall|||Forwards Walking,"A person walks forwards with one arm across the chest and the other extended, walking tall."
One arm across chest the other extended walk tall|||Idling,A person idles upright with one arm across the chest and the other extended.
One arm across chest the other extended walk tall|||Sidestep Running,"A person sidestep runs with one arm across the chest and the other extended, maintaining a tall posture."
One arm across chest the other extended walk tall|||Sidestep Walking,"Human motion of walking tall with one arm across the chest and the other extended, while sidestepping."
One arm across chest the other extended walk tall|||Transition 1,A person walks tall with one arm across the chest and the other extended during a transition.
One arm on hip other arm raised|||Backwards Running,Human motion of running backwards with one arm on the hip and the other raised.
One arm on hip other arm raised|||Backwards Walking,A person walks backwards with one arm on the hip and the other arm raised.
One arm on hip other arm raised|||Forwards Running,A person runs forwards with one arm on the hip and the other arm raised.
One arm on hip other arm raised|||Forwards Walking,A person walks forward with one arm on the hip and the other arm raised.
One arm on hip other arm raised|||Idling,A person stands idly with one arm on hip and the other raised.
One arm on hip other arm raised|||Sidestep Running,A person runs sideways with one arm on the hip and the other arm raised.
One arm on hip other arm raised|||Sidestep Walking,A person sidesteps with one arm on the hip and the other arm raised.
One arm on hip other arm raised|||Transition 1,Human motion of transitioning with one arm on hip and the other raised.
One foot in front of the other so the heel touches the toe|||Backwards Running,A person runs backwards while placing each foot heel-to-toe.
One foot in front of the other so the heel touches the toe|||Backwards Walking,"A person walks backwards, placing one foot in front of the other with heel touching toe."
One foot in front of the other so the heel touches the toe|||Forwards Running,"A person runs forward, placing one foot in front of the other with the heel touching the toe."
One foot in front of the other so the heel touches the toe|||Forwards Walking,"A person walks forward, placing one foot in front of the other with heel touching toe."
One foot in front of the other so the heel touches the toe|||Idling,"A person stands idle with one foot in front of the other, heel touching toe."
One foot in front of the other so the heel touches the toe|||Sidestep Running,A person sidestep runs while placing one foot in front of the other with heel touching toe.
One foot in front of the other so the heel touches the toe|||Sidestep Walking,"A person sidesteps with one foot in front of the other, heel touching toe."
One foot in front of the other so the heel touches the toe|||Transition 1,A person transitions by placing one foot in front of the other with heel touching toe.
Open hands swing hand with each step to do a karate chop|||Backwards Running,Human motion of running backwards while swinging open hands to perform karate chops with each step.
Open hands swing hand with each step to do a karate chop|||Backwards Walking,A person walks backwards while swinging open hands with each step to perform karate chops.
Open hands swing hand with each step to do a karate chop|||Forwards Running,"A person runs forward, swinging open hands with each step to perform karate chops."
Open hands swing hand with each step to do a karate chop|||Forwards Walking,A person walks forward while swinging open hands to perform karate chops with each step.
Open hands swing hand with each step to do a karate chop|||Idling,A person idles while swinging open hands to execute karate chops.
Open hands swing hand with each step to do a karate chop|||Sidestep Running,Human motion of sidestep running with open hands swinging to perform karate chops.
Open hands swing hand with each step to do a karate chop|||Sidestep Walking,A person sidesteps while swinging open hands to karate chop with each step.
Open hands swing hand with each step to do a karate chop|||Transition 1,Human motion of transitioning with open-handed karate chops in each step.
Pause briefly after after step|||Backwards Running,A person runs backwards while pausing briefly after each step.
Pause briefly after after step|||Backwards Walking,"A person walks backwards, pausing briefly after each step."
Pause briefly after after step|||Forwards Running,Human motion of running forward with a brief pause after each step.
Pause briefly after after step|||Forwards Walking,"A person walks forward, pausing briefly after each step."
Pause briefly after after step|||Idling,A person idles by pausing briefly after a step.
Pause briefly after after step|||Sidestep Running,Human motion of sidestep running with a brief pause after each step.
Pause briefly after after step|||Sidestep Walking,"A person walks sideways with sidesteps, pausing briefly after each step."
Pause briefly after after step|||Transition 1,A person performs a transition step and pauses briefly.
Place hands in pockets and walk and run|||Backwards Running,A person runs backwards with hands in their pockets.
Place hands in pockets and walk and run|||Backwards Walking,A person walks backwards with hands in pockets.
Place hands in pockets and walk and run|||Forwards Running,A person runs forward with hands placed in pockets.
Place hands in pockets and walk and run|||Forwards Walking,A person walks forward with hands placed in pockets.
Place hands in pockets and walk and run|||Idling,"A person idles with hands in pockets, upper body styled for walking and running."
Place hands in pockets and walk and run|||Sidestep Running,A person runs sidestepping with hands in pockets.
Place hands in pockets and walk and run|||Sidestep Walking,A person sidesteps with hands placed in pockets.
Place hands in pockets and walk and run|||Transition 1,A person transitions between walking and running with hands placed in pockets.
Prince Phillip Walk – hands clasped behind back|||Backwards Running,A person runs backwards with hands clasped behind back.
Prince Phillip Walk – hands clasped behind back|||Backwards Walking,A person walks backwards with hands clasped behind their back.
Prince Phillip Walk – hands clasped behind back|||Forwards Running,A person runs forwards with hands clasped behind their back.
Prince Phillip Walk – hands clasped behind back|||Forwards Walking,A person walks forwards with hands clasped behind their back.
Prince Phillip Walk – hands clasped behind back|||Idling,A person idles with hands clasped behind the back.
Prince Phillip Walk – hands clasped behind back|||Sidestep Running,A person sidestep runs with hands clasped behind their back.
Prince Phillip Walk – hands clasped behind back|||Sidestep Walking,A person sidesteps with hands clasped behind their back.
Prince Phillip Walk – hands clasped behind back|||Transition 1,A person walks with hands clasped behind their back.
Punch with every step|||Backwards Running,Human motion of punching with each step while running backwards.
Punch with every step|||Backwards Walking,"A person walks backwards, punching with every step."
Punch with every step|||Forwards Running,A person runs forward while punching with every step.
Punch with every step|||Forwards Walking,A person walks forward while punching with each step.
Punch with every step|||Idling,Human motion of idling while punching with each step.
Punch with every step|||Sidestep Running,"A person sidestep runs, throwing a punch with each step."
Punch with every step|||Sidestep Walking,A person sidesteps while punching with every step.
Punch with every step|||Transition 1,A person punches with every step while their lower body transitions.
Raise left arm perpendicular to body|||Backwards Running,A person raises their left arm perpendicular to their body while running backwards.
Raise left arm perpendicular to body|||Backwards Walking,A person raises their left arm perpendicular to their body while walking backwards.
Raise left arm perpendicular to body|||Forwards Running,A person runs forwards while raising their left arm perpendicular to their body.
Raise left arm perpendicular to body|||Forwards Walking,A person walks forwards while raising their left arm perpendicular to their body.
Raise left arm perpendicular to body|||Idling,A person raises their left arm perpendicular to the body while idling.
Raise left arm perpendicular to body|||Sidestep Running,A person raises their left arm perpendicular to their body while sidestep running.
Raise left arm perpendicular to body|||Sidestep Walking,A person sidesteps with left arm raised perpendicular to the body.
Raise left arm perpendicular to body|||Transition 1,A person raises the left arm perpendicular to the body while the lower body transitions.
Raise right arm perpendicular to body|||Backwards Running,A person runs backwards while raising their right arm perpendicular to their body.
Raise right arm perpendicular to body|||Backwards Walking,A person walks backwards while raising their right arm perpendicular to the body.
Raise right arm perpendicular to body|||Forwards Running,A person runs forward with their right arm raised perpendicular to their body.
Raise right arm perpendicular to body|||Forwards Walking,Human motion of raising right arm perpendicular to body while walking forwards.
Raise right arm perpendicular to body|||Idling,A person raises their right arm perpendicular to the body while idling.
Raise right arm perpendicular to body|||Sidestep Running,A person runs sideways while raising their right arm perpendicular to their body.
Raise right arm perpendicular to body|||Sidestep Walking,A person walks sideways while raising their right arm perpendicular to their body.
Raise right arm perpendicular to body|||Transition 1,A person raises their right arm perpendicular to the body and transitions their stance.
Right arm folded over left|||Backwards Running,A person runs backwards with their right arm folded over their left.
Right arm folded over left|||Backwards Walking,A person walks backwards with the right arm folded over the left.
Right arm folded over left|||Forwards Running,A person runs forward with the right arm folded over the left.
Right arm folded over left|||Forwards Walking,A person walks forward with the right arm folded over the left.
Right arm folded over left|||Idling,A person stands idle with their right arm folded over their left.
Right arm folded over left|||Sidestep Running,"A person runs with a sidestep, right arm folded over left."
Right arm folded over left|||Sidestep Walking,A person walks sideways with their right arm folded over their left.
Right arm folded over left|||Transition 1,Human motion of transitioning with the right arm folded over the left.
Right arm raised like superman flying|||Backwards Running,A person runs backwards with their right arm raised like Superman flying.
Right arm raised like superman flying|||Backwards Walking,A person walks backwards with their right arm raised like Superman flying.
Right arm raised like superman flying|||Forwards Running,Human motion of running forward with the right arm raised in a Superman flying pose.
Right arm raised like superman flying|||Forwards Walking,A person walks forward with the right arm raised like Superman flying.
Right arm raised like superman flying|||Idling,A person idles with their right arm raised in a Superman flying pose.
Right arm raised like superman flying|||Sidestep Running,Human motion of a person sidestepping while running with their right arm raised like Superman flying.
Right arm raised like superman flying|||Sidestep Walking,A person sidesteps while raising their right arm like Superman flying.
Right arm raised like superman flying|||Transition 1,A person performs a lower body transition with their right arm raised like Superman flying.
Roll hands over one another like disco move and tilt torso forwards and then back|||Backwards Running,A person runs backwards while rolling hands over one another and tilting torso forwards and back.
Roll hands over one another like disco move and tilt torso forwards and then back|||Backwards Walking,"A person walks backwards, rolling hands over one another like a disco move and tilting torso forwards and back."
Roll hands over one another like disco move and tilt torso forwards and then back|||Forwards Running,Human motion of running forward while rolling hands over each other and tilting the torso back and forth.
Roll hands over one another like disco move and tilt torso forwards and then back|||Forwards Walking,A person walks forwards while rolling their hands over one another and tilting their torso forwards and back.
Roll hands over one another like disco move and tilt torso forwards and then back|||Idling,"A person idles, rolling hands over each other disco-style and tilting torso forward and back."
Roll hands over one another like disco move and tilt torso forwards and then back|||Sidestep Running,Human motion of sidestep running with hands rolling over each other and torso tilting forward and back.
Roll hands over one another like disco move and tilt torso forwards and then back|||Sidestep Walking,A person sidesteps while rolling their hands over one another and tilting their torso forwards and back.
Roll hands over one another like disco move and tilt torso forwards and then back|||Transition 1,"A person rolls hands over one another in a disco move, tilts torso forwards and then back, and takes a step."
Rotate anticlockwise as you move|||Backwards Running,Human motion of rotating anticlockwise while running backwards.
Rotate anticlockwise as you move|||Backwards Walking,A person rotates anticlockwise while walking backwards.
Rotate anticlockwise as you move|||Forwards Running,A person runs forwards while rotating their upper body anticlockwise.
Rotate anticlockwise as you move|||Forwards Walking,A person walks forwards while rotating their upper body anticlockwise.
Rotate anticlockwise as you move|||Idling,A person rotates their upper body anticlockwise while keeping their lower body idle.
Rotate anticlockwise as you move|||Sidestep Running,Human motion of sidestepping while running with the upper body rotating anticlockwise.
Rotate anticlockwise as you move|||Sidestep Walking,A person sidesteps while rotating their upper body anticlockwise.
Rotate anticlockwise as you move|||Transition 1,Human motion of rotating anticlockwise while transitioning forward.
Rotate anticlockwise as you move|||Transition 2,A person moves with an anticlockwise upper body rotation while their lower body transitions.
Rotate anticlockwise as you move|||Transition 3,A person rotates anticlockwise with the upper body during a three-step lower body transition.
Rotate in clockwise circles as you move|||Backwards Running,A person rotates their upper body in clockwise circles while running backwards.
Rotate in clockwise circles as you move|||Backwards Walking,A person walks backwards while rotating their upper body in clockwise circles.
Rotate in clockwise circles as you move|||Forwards Running,A person runs forwards while rotating their upper body in clockwise circles.
Rotate in clockwise circles as you move|||Forwards Walking,A person walks forwards while rotating their upper body in clockwise circles.
Rotate in clockwise circles as you move|||Idling,A person rotates their upper body in clockwise circles while their lower body idles.
Rotate in clockwise circles as you move|||Sidestep Running,A person runs sideways while rotating their upper body in clockwise circles.
Rotate in clockwise circles as you move|||Sidestep Walking,A person sidesteps while rotating their upper body in clockwise circles.
Rotate in clockwise circles as you move|||Transition 1,A person transitions while rotating their upper body in clockwise circles.
Rotate in clockwise circles as you move|||Transition 2,A person transitions with their lower body while rotating their upper body in clockwise circles.
Rotate in clockwise circles as you move|||Transition 3,Human motion of rotating clockwise while transitioning through a sequence of steps.
Rotate torso and shoulders left to right and back|||Backwards Running,Human motion of rotating the torso and shoulders left to right while running backwards.
Rotate torso and shoulders left to right and back|||Backwards Walking,A person walks backwards while rotating their torso and shoulders from left to right and back.
Rotate torso and shoulders left to right and back|||Forwards Running,A person runs forward while rotating their torso and shoulders from left to right and back.
Rotate torso and shoulders left to right and back|||Forwards Walking,A person walks forwards while rotating their torso and shoulders from left to right and back.
Rotate torso and shoulders left to right and back|||Idling,A person rotates their torso and shoulders left to right while idling with their lower body.
Rotate torso and shoulders left to right and back|||Sidestep Running,A person sidestep runs while rotating their torso and shoulders left to right and back.
Rotate torso and shoulders left to right and back|||Sidestep Walking,A person sidesteps while rotating their torso and shoulders from left to right and back.
Rotate torso and shoulders left to right and back|||Transition 1,Human motion of rotating the torso and shoulders left to right while transitioning the lower body.
Rushing about swinging arms for extra momentum|||Backwards Running,Human motion of rushing backwards while swinging arms for momentum.
Rushing about swinging arms for extra momentum|||Backwards Walking,"A person walks backwards, swinging arms energetically for extra momentum."
Rushing about swinging arms for extra momentum|||Forwards Running,A person runs forward while swinging arms for extra momentum.
Rushing about swinging arms for extra momentum|||Forwards Walking,A person walks forward briskly while swinging arms for extra momentum.
Rushing about swinging arms for extra momentum|||Idling,A person idles while swinging their arms for extra momentum.
Rushing about swinging arms for extra momentum|||Sidestep Running,A person sidestep runs while swinging arms for extra momentum.
Rushing about swinging arms for extra momentum|||Sidestep Walking,A person sidesteps rapidly while swinging their arms for extra momentum.
Rushing about swinging arms for extra momentum|||Transition 1,A person transitions by rushing and swinging their arms for extra momentum.
Skipping like a child|||Backwards Running,"Human motion of skipping backwards with a playful, childlike upper body."
Skipping like a child|||Backwards Walking,A person's upper body skips like a child while they walk backwards.
Skipping like a child|||Forwards Running,A person runs forward with an upper body skipping like a child.
Skipping like a child|||Forwards Walking,"A person walks forward, their upper body skipping like a child."
Skipping like a child|||Idling,A person performs skipping-like motions with their upper body while their lower body idles.
Skipping like a child|||Sidestep Running,Human motion of skipping like a child with a sidestep running lower body.
Skipping like a child|||Sidestep Walking,A person sidesteps while mimicking a child's skip with their upper body.
Skipping like a child|||Transition 1,A person skips like a child while transitioning their steps.
Sqaut slightly and bend back|||Backwards Running,"A person squats slightly, bends back, and runs backwards."
Sqaut slightly and bend back|||Backwards Walking,"A person squats slightly, bends back, and walks backwards."
Sqaut slightly and bend back|||Forwards Running,A person runs forward while squatting slightly and bending back.
Sqaut slightly and bend back|||Forwards Walking,Human motion of squatting slightly with a bent back while walking forwards.
Sqaut slightly and bend back|||Idling,A person squats slightly with a bent back while idling.
Sqaut slightly and bend back|||Sidestep Running,"A person runs while sidestepping, squatting slightly, and bending back."
Sqaut slightly and bend back|||Sidestep Walking,"A person squats slightly, bends back, and walks sideways."
Sqaut slightly and bend back|||Transition 1,"A person squats slightly, bends back, and transitions with the lower body."
Squat down with left arm raised in block as if holding a shield above head. Right harm as if holding a sword|||Backwards Running,"A person squats with left arm in a shield block above head and right arm poised with a sword, running backwards."
Squat down with left arm raised in block as if holding a shield above head. Right harm as if holding a sword|||Backwards Walking,"A person squats and walks backwards, raising the left arm to block like a shield and positioning the right arm as if holding a sword."
Squat down with left arm raised in block as if holding a shield above head. Right harm as if holding a sword|||Forwards Running,"A person runs forward while squatting, with left arm blocking like a shield and right arm as if wielding a sword."
Squat down with left arm raised in block as if holding a shield above head. Right harm as if holding a sword|||Forwards Walking,Human motion of walking forward while squatting with left arm raised in a blocking shield position and right arm held as if wielding a sword.
Squat down with left arm raised in block as if holding a shield above head. Right harm as if holding a sword|||Idling,A person idly squats with left arm raised in a block as a shield above head and right arm as if holding a sword.
Squat down with left arm raised in block as if holding a shield above head. Right harm as if holding a sword|||Sidestep Running,A person squats down with left arm raised in a block as a shield overhead and right arm holding a sword while sidestep running.
Squat down with left arm raised in block as if holding a shield above head. Right harm as if holding a sword|||Sidestep Walking,"A person squats with left arm blocking like a shield overhead and right arm as if holding a sword, while sidestepping."
Squat down with left arm raised in block as if holding a shield above head. Right harm as if holding a sword|||Transition 1,"A person transitions to a squat, left arm blocking like a shield, right arm as if wielding a sword."
Squat down with right arm raised in block as if holding a shield above head. Left arm as if holding a sword|||Backwards Running,"A person squats while running backwards, right arm raised in a shield block and left arm as if holding a sword."
Squat down with right arm raised in block as if holding a shield above head. Left arm as if holding a sword|||Backwards Walking,"A person squats and walks backwards, raising the right arm to block like a shield overhead and holding the left arm as if gripping a sword."
Squat down with right arm raised in block as if holding a shield above head. Left arm as if holding a sword|||Forwards Running,Human motion of running forward while squatting with a shield raised overhead and a sword held ready.
Squat down with right arm raised in block as if holding a shield above head. Left arm as if holding a sword|||Forwards Walking,"A person walks forwards in a squat, with right arm blocking like a shield overhead and left arm poised as if holding a sword."
Squat down with right arm raised in block as if holding a shield above head. Left arm as if holding a sword|||Idling,"A person squats with right arm blocking overhead like a shield and left arm as if wielding a sword, lower body idle."
Squat down with right arm raised in block as if holding a shield above head. Left arm as if holding a sword|||Sidestep Running,"A person sidestep runs in a squat, blocking overhead with the right arm like a shield and wielding a sword with the left arm."
Squat down with right arm raised in block as if holding a shield above head. Left arm as if holding a sword|||Sidestep Walking,"A person squats and sidesteps, right arm blocking overhead like a shield, left arm as if holding a sword."
Squat down with right arm raised in block as if holding a shield above head. Left arm as if holding a sword|||Transition 1,"A person squats down in transition, raising the right arm to block like a shield overhead and holding the left arm as if wielding a sword."
Squat slightly make right angle with elbows and swing hands freely|||Backwards Running,"A person squats slightly with elbows at a right angle, swings hands freely, and runs backwards."
Squat slightly make right angle with elbows and swing hands freely|||Backwards Walking,"A person squats slightly with elbows at a right angle, swinging hands freely while walking backwards."
Squat slightly make right angle with elbows and swing hands freely|||Forwards Running,A person runs forward in a slight squat with elbows bent at right angles and hands swinging freely.
Squat slightly make right angle with elbows and swing hands freely|||Forwards Walking,A person walks forward in a slight squat with elbows bent at right angles and hands swinging freely.
Squat slightly make right angle with elbows and swing hands freely|||Idling,"A person idles in a slight squat, with elbows at a right angle and hands swinging freely."
Squat slightly make right angle with elbows and swing hands freely|||Sidestep Running,"A person sidestep runs in a slight squat, elbows at right angles, hands swinging freely."
Squat slightly make right angle with elbows and swing hands freely|||Sidestep Walking,A person squats slightly with elbows bent at a right angle and swings hands freely while sidestepping.
Squat slightly make right angle with elbows and swing hands freely|||Transition 1,A person squats slightly with elbows at right angles and hands swinging freely during a lower body transition.
Step each foot in front of other leg|||Backwards Running,Human motion of stepping each foot in front of the other while running backwards.
Step each foot in front of other leg|||Backwards Walking,A person steps each foot in front of the other while walking backwards.
Step each foot in front of other leg|||Forwards Running,"A person runs forward, stepping each foot in front of the other leg."
Step each foot in front of other leg|||Forwards Walking,Human motion of stepping each foot in front of the other while walking forwards.
Step each foot in front of other leg|||Idling,"A person idles, stepping each foot in front of the other leg."
Step each foot in front of other leg|||Sidestep Running,A person runs sideways while stepping each foot in front of the other leg.
Step each foot in front of other leg|||Sidestep Walking,A person sidesteps while crossing their feet in front of each other.
Step each foot in front of other leg|||Transition 1,A person steps each foot in front of the other leg during a transition.
Step left foot - then together – then right foot.|||Backwards Running,"Human motion of stepping left, together, then right while running backwards."
Step left foot - then together – then right foot.|||Backwards Walking,"A person walks backwards by stepping left foot, bringing feet together, and stepping right foot."
Step left foot - then together – then right foot.|||Forwards Running,"A person runs forward, stepping left foot, bringing feet together, then stepping right foot."
Step left foot - then together – then right foot.|||Forwards Walking,"A person steps left, brings feet together, then steps right while walking forward."
Step left foot - then together – then right foot.|||Idling,"A person idles by stepping left foot, then together, then right foot."
Step left foot - then together – then right foot.|||Sidestep Running,"A person sidestep runs while stepping left foot, bringing feet together, then stepping right foot."
Step left foot - then together – then right foot.|||Sidestep Walking,"A person sidesteps by stepping left, bringing feet together, then stepping right."
Step left foot - then together – then right foot.|||Transition 1,"A person steps left, brings feet together, steps right with a lower body transition."
Step normally with left foot but spring off right foot|||Backwards Running,"A person runs backwards, stepping normally with the left foot and springing off the right foot."
Step normally with left foot but spring off right foot|||Backwards Walking,Human motion of stepping normally with the left foot while springing off the right foot and walking backwards.
Step normally with left foot but spring off right foot|||Forwards Running,"A person runs forward, stepping normally with the left foot and springing off the right."
Step normally with left foot but spring off right foot|||Forwards Walking,"A person walks forward, stepping normally with the left foot and springing off the right foot."
Step normally with left foot but spring off right foot|||Idling,A person normally steps with the left foot and springs off the right foot while idling.
Step normally with left foot but spring off right foot|||Sidestep Running,"A person sidestep runs, taking normal steps with the left foot and springing off the right."
Step normally with left foot but spring off right foot|||Sidestep Walking,"A person walks sideways, stepping normally with the left foot and springing off the right foot."
Step normally with left foot but spring off right foot|||Transition 1,A person performs Transition 1 by stepping normally with the left foot and springing off the right foot.
Step normally with left foot but spring off right foot|||Transition 2,A person steps with the left foot and springs off the right foot in a transitional movement.
Step normally with right foot but spring off left foot|||Backwards Running,"A person runs backwards, stepping normally with the right foot and springing off the left foot."
Step normally with right foot but spring off left foot|||Backwards Walking,"A person walks backwards, stepping normally with the right foot and springing off the left foot."
Step normally with right foot but spring off left foot|||Forwards Running,"A person runs forwards, stepping normally with the right foot and springing off the left foot."
Step normally with right foot but spring off left foot|||Forwards Walking,"A person walks forwards, stepping normally with the right foot and springing off the left foot."
Step normally with right foot but spring off left foot|||Idling,"A person steps normally with the right foot and springs off the left, while the lower body idles."
Step normally with right foot but spring off left foot|||Sidestep Running,"A person performs sidestep running, stepping normally with the right foot and springing off the left foot."
Step normally with right foot but spring off left foot|||Sidestep Walking,A person sidesteps while stepping normally with the right foot and springing off the left foot.
Step normally with right foot but spring off left foot|||Transition 1,A person transitions by stepping normally with the right foot and springing off the left foot.
Step normally with right foot but spring off left foot|||Transition 2,A person transitions by stepping normally with the right foot and springing off the left foot.
Stiff limbs arms straight|||Backwards Running,"A person runs backwards with stiff, straight arms."
Stiff limbs arms straight|||Backwards Walking,"A person walks backwards with stiff, straight arms."
Stiff limbs arms straight|||Forwards Running,A person runs forward with stiff limbs and straight arms.
Stiff limbs arms straight|||Forwards Walking,A person walks forward with stiff limbs and arms held straight.
Stiff limbs arms straight|||Idling,"A person idles with stiff, straight arms."
Stiff limbs arms straight|||Sidestep Running,"A person runs with sidesteps, arms straight and stiff."
Stiff limbs arms straight|||Sidestep Walking,A person sidesteps with arms held straight and stiff.
Stiff limbs arms straight|||Transition 1,A person's lower body transitions while the upper body remains stiff with straight arms.
Stiff movements arms bending at elbows|||Backwards Running,"A person runs backwards with stiff arm movements, bending at the elbows."
Stiff movements arms bending at elbows|||Backwards Walking,"A person walks backwards with stiff movements, bending their arms at the elbows."
Stiff movements arms bending at elbows|||Forwards Running,"A person runs forward with stiff movements, bending their arms at the elbows."
Stiff movements arms bending at elbows|||Forwards Walking,"A person walks forward with stiff, bent-elbow arm movements."
Stiff movements arms bending at elbows|||Idling,Human motion of stiffly bending arms at the elbows while idling.
Stiff movements arms bending at elbows|||Sidestep Running,"A person runs sideways with stiff arm movements, bending at the elbows."
Stiff movements arms bending at elbows|||Sidestep Walking,A person sidesteps with stiff arms bending at the elbows.
Stiff movements arms bending at elbows|||Transition 1,A person stiffly bends their arms at the elbows while their lower body transitions.
